"ID_VertProf","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"VP_00036",0.00562164409908337,0.249906604417011,0.287633054999373,0.205993187058578,0.11072938385148,0.0550607555896676,0.0272863917384821,0.0163057101051088,0.0118262200161867,0.00859204510770862,0.00602847215560113,0.00451389614732774,0.00335364947795065,0.00271881459094524,0.00227411343210496,0.00215605721339174,1
"VP_00037",0.00562164409908338,0.24990660441701,0.287633054999373,0.205993187058578,0.11072938385148,0.0550607555896675,0.0272863917384821,0.0163057101051088,0.0118262200161867,0.00859204510770862,0.00602847215560113,0.00451389614732774,0.00335364947795065,0.00271881459094524,0.00227411343210496,0.00215605721339174,1
"VP_00038",0.0011762625434709,0.197965166509408,0.250616735229626,0.188831078115837,0.113480990383219,0.0764570131811677,0.0525121203379901,0.0363433703261315,0.0257386716824652,0.0171341945280901,0.011970167084737,0.00872191522318381,0.00630622304213527,0.00484934292694406,0.00382759734040992,0.00406915154518534,1
"VP_00039",0,0.0922206744511097,0.241423025841158,0.234164444713265,0.11131796370897,0.074500876294994,0.053829257284768,0.040163333467732,0.0302319347521937,0.0239533237627878,0.0193456558848559,0.0163170500122717,0.0141835048576087,0.012913854342776,0.0129788208625592,0.0224562797629502,1
"VP_00040",0.00951472681217126,0.306940310956278,0.321644604161863,0.139879665758572,0.077516924242525,0.047871214904063,0.0299031788536857,0.0195546711184769,0.013231089674761,0.00949701858512392,0.00716703021787803,0.00540007156530366,0.00397043467059337,0.00311334713063508,0.00249591864654594,0.00229979270152377,1
"VP_00041",0,0.195805221442531,0.376170038110213,0.266901679208105,0.101722108939979,0.0284072701092882,0.0133071912679023,0.00685945302206384,0.00360035008985682,0.00233750133962819,0.00165011865844712,0.00103948171352363,0.000775076283121284,0.000553699862185267,0.00049304618897546,0.000377763764179865,1
"VP_00042",0,0.195805221442532,0.376170038110213,0.266901679208105,0.101722108939979,0.0284072701092882,0.0133071912679023,0.00685945302206384,0.00360035008985682,0.00233750133962819,0.00165011865844712,0.00103948171352363,0.000775076283121284,0.000553699862185267,0.00049304618897546,0.000377763764179865,1
"VP_00043",0,0.195805221442531,0.376170038110213,0.266901679208105,0.101722108939979,0.0284072701092882,0.0133071912679023,0.00685945302206384,0.00360035008985682,0.00233750133962819,0.00165011865844712,0.00103948171352363,0.000775076283121285,0.000553699862185267,0.00049304618897546,0.000377763764179865,1
"VP_00044",0.907882113528408,0.0777166741274832,0.00946374382446111,0.00293555921367426,0.000945091781962295,0.00040646855434449,0.000259679457435918,0.000168574225967402,0.000108082323152637,4.33048136240983e-05,1.17846915810779e-05,1.17846915810779e-05,1.17846915810779e-05,1.17846915810779e-05,1.17846915810779e-05,1.17846915810779e-05,1
"VP_00045",0,0,0.234834773925682,0.290560216642545,0.207687130655565,0.100781942779783,0.0496865078970225,0.0302470212300069,0.021586543923149,0.0157011535849448,0.0123105762045877,0.0099145090448384,0.0081228232743328,0.0068700542828743,0.00566033228568907,0.00603641426897956,1
